pack	version	card_id	signature	context	signals
small-luxury	small-luxury-v2	comfort	0	공간·만족	pref.focus:A
small-luxury	small-luxury-v2	meal	0	식사·준비	act.preparation:A
small-luxury	small-luxury-v2	collect	0	수집·만족	pref.focus:B
small-luxury	small-luxury-v2	occasion	0	보상·전환	reg.transition:B
small-luxury	small-luxury-v2	recommend	0	추천·표현	exp.intensity:A
small-luxury	small-luxury-v2	memory	0	소비·기억	att.experience:A
snack-personality	snack-personality-v2	snack-moment	1	간식·취향	pref.stability:A
snack-personality	snack-personality-v2	sweet-salty	0	간식·맛	coop.sync:A
snack-personality	snack-personality-v2	share	0	간식·추천	pref.stability:A
snack-personality	snack-personality-v2	movie-snack	0	간식·선택	pref.focus:A
snack-personality	snack-personality-v2	new-flavor	0	간식·시도	dec.experiment:B
snack-personality	snack-personality-v2	last-bite	0	간식·종료	dec.openness:A
snack-personality	snack-personality-v2	stock	0	간식·준비	act.preparation:A
snack-personality	snack-personality-v2	pairing	0	간식·조합	pref.discovery:A
snack-personality	snack-personality-v2	craving	0	간식·변경	act.adjustment:A
snack-personality	snack-personality-v2	gift-snack	0	간식·선물	dec.experiment:A
social-battery	social-battery-v2	recharge	1	모임·회복	reg.source:A
social-battery	social-battery-v2	party-entry	0	모임·관계	rel.entry:A,rel.range:A
social-battery	social-battery-v2	new-person	0	낯선사람	rel.entry:A
social-battery	social-battery-v2	small-talk	0	모임·관계	rel.range:A
social-battery	social-battery-v2	week-plan	0	약속·회복	reg.source:A
social-battery	social-battery-v2	one-on-one	0	모임·피로	rel.range:A
social-battery	social-battery-v2	after-cancel	0	모임·역할	coop.role:A
social-battery	social-battery-v2	hosting	0	초대·준비	act.preparation:B
social-battery	social-battery-v2	leave-time	0	모임·회복	reg.source:A
social-battery	social-battery-v2	reset	0	모임·회복	reg.motion:A,reg.stimulus:A
spontaneous-plan	spontaneous-plan-v2	sudden-invite	1	즉흥약속	act.preparation:B
spontaneous-plan	spontaneous-plan-v2	meeting-place	0	약속·애매함	dec.convergence:A,coop.ambiguity:B
spontaneous-plan	spontaneous-plan-v2	one-more	0	약속·종료	dec.openness:B
spontaneous-plan	spontaneous-plan-v2	weather-change	0	약속·전환	reg.transition:A
spontaneous-plan	spontaneous-plan-v2	unexpected-guest	0	약속·변경	act.adjustment:A
spontaneous-plan	spontaneous-plan-v2	late-start	0	약속·연락	exp.reaction:A,act.preparation:B
spontaneous-plan	spontaneous-plan-v2	new-place	0	장소·시도	dec.experiment:B
spontaneous-plan	spontaneous-plan-v2	budget	0	약속·비용	act.preparation:B
spontaneous-plan	spontaneous-plan-v2	surprise	0	약속·표현	rel.range:A
spontaneous-plan	spontaneous-plan-v2	memory-plan	0	약속·기억	att.memory:A
tiny-routine	tiny-routine-v2	morning-start	1	아침·일상	act.routine:A
tiny-routine	tiny-routine-v2	first-sound	0	아침·자극	reg.stimulus:B
tiny-routine	tiny-routine-v2	to-do	0	할일·정보	act.preparation:A,att.reading:A
tiny-routine	tiny-routine-v2	reset	0	일상·시작	act.start:A
tiny-routine	tiny-routine-v2	walk	0	산책·준비	act.preparation:A
tiny-routine	tiny-routine-v2	music	0	집중·취향	pref.familiarity:A,dec.experiment:A
tiny-routine	tiny-routine-v2	little-reward	0	완료·전환	reg.transition:B
tiny-routine	tiny-routine-v2	night-close	0	밤·일상	act.routine:A
tiny-routine	tiny-routine-v2	week-reset	0	주간·준비	act.preparation:A
tiny-routine	tiny-routine-v2	broken-routine	0	일상·변경	act.routine:A,act.adjustment:B
trip-chemistry	trip-chemistry-v2	packing	1	여행·준비	act.preparation:A
trip-chemistry	trip-chemistry-v2	arrival	0	여행·도착	act.preparation:A
trip-chemistry	trip-chemistry-v2	map	0	여행·탐색	act.preparation:A,dec.experiment:A
trip-chemistry	trip-chemistry-v2	food	0	여행·식사	dec.experiment:A
trip-chemistry	trip-chemistry-v2	open-hour	0	여행·회복	reg.motion:A
trip-chemistry	trip-chemistry-v2	change	0	여행·변경	act.adjustment:A
trip-chemistry	trip-chemistry-v2	souvenir	0	여행·기록	att.experience:A
trip-chemistry	trip-chemistry-v2	morning	0	여행·아침	reg.motion:A,reg.transition:A
trip-chemistry	trip-chemistry-v2	detour	0	여행·변경	act.adjustment:B
trip-chemistry	trip-chemistry-v2	last-night	0	여행·전환	reg.transition:A
weekend-escape	weekend-escape-v2	free-morning	1	주말·시작	reg.motion:A,reg.transition:A
weekend-escape	weekend-escape-v2	last-minute	0	주말·계획	pref.focus:B
weekend-escape	weekend-escape-v2	rest-plan	0	주말·준비	act.preparation:A
weekend-escape	weekend-escape-v2	home-or-out	0	주말·탐색	pref.familiarity:B,dec.experiment:B
weekend-escape	weekend-escape-v2	weather	0	주말·활동	reg.motion:A
weekend-escape	weekend-escape-v2	late-lunch	0	주말·식사	pref.familiarity:B,dec.experiment:B
weekend-escape	weekend-escape-v2	one-more-episode	0	주말·일상	act.routine:A,dec.openness:A
weekend-escape	weekend-escape-v2	sunday-night	0	주말·전환	reg.transition:A,act.preparation:A
weekend-escape	weekend-escape-v2	mini-adventure	0	주말·탐색	pref.familiarity:B
weekend-escape	weekend-escape-v2	weekend-proof	0	주말·회복	reg.motion:A
