pack	source_version	card_id	owner_prompt	visitor_prompt	option_a	option_b	signals
room-temperature	room-temperature-v2	scent	방에 새로운 분위기를 들이고 싶다면?	방에 새로운 분위기를 들이고 싶을 때 이 사람은?	좋아하던 향이나 음악을 더 깊게 찾는다	일부러 전혀 다른 조합을 찾아본다	pref.discovery:A
room-temperature	room-temperature-v2	guest	지친 손님이 집에 찾아오면 나는?	지친 손님이 집에 찾아오면 이 사람은?	먹을 것처럼 필요한 도움부터 챙긴다	편히 앉혀 이야기를 먼저 들어준다	coop.support:A
small-luxury	small-luxury-v2	gift	나에게 작은 선물을 고를 때 나는?	자신에게 작은 선물을 고를 때 이 사람은?	전부터 좋아하던 것을 고른다	그날 새롭게 끌린 것을 고른다	pref.stability:A
small-luxury	small-luxury-v2	comfort	같은 예산으로 집을 편하게 만든다면?	같은 예산으로 집을 편하게 만들 때 이 사람은?	촉감 좋은 하나에 집중한다	향과 빛 같은 작은 변화들을 더한다	pref.focus:A
small-luxury	small-luxury-v2	memory	돈을 쓰는 좋은 순간에 나는?	돈을 쓰는 좋은 순간에 이 사람은?	사진이나 기록을 남기며 즐긴다	먼저 충분히 즐긴 뒤 하나만 남긴다	att.experience:A
small-luxury	small-luxury-v2	occasion	특별한 날이 아니어도 일을 하나 끝냈다면?	특별한 날이 아니어도 일을 하나 끝내면 이 사람은?	작은 보상으로 잠깐 마무리한다	기분을 이어 바로 다음 일을 한다	reg.transition:B
snack-personality	snack-personality-v2	sweet-salty	둘이 단짠 간식을 고를 때 나는?	둘이 단짠 간식을 고를 때 이 사람은?	같이 먹을 한 가지 맛에 맞춘다	서로 다른 맛을 골라 나눠 먹는다	coop.sync:A
snack-personality	snack-personality-v2	movie-snack	영화를 볼 간식 예산이 정해져 있다면?	영화를 볼 간식 예산이 정해져 있다면 이 사람은?	가장 먹고 싶은 하나를 제대로 고른다	여러 맛을 조금씩 고른다	pref.focus:A
snack-personality	snack-personality-v2	pairing	음료와 간식 조합을 새로 찾을 때 나는?	음료와 간식 조합을 새로 찾을 때 이 사람은?	잘 맞는 추천 조합을 따라가 본다	일부러 뜻밖의 조합을 만들어 본다	pref.discovery:A
social-battery	social-battery-v2	one-on-one	모임에서 대화할 시간이 생기면 나는?	모임에서 대화할 시간이 생기면 이 사람은?	여러 사람과 짧게 이야기를 잇는다	한 사람과 긴 이야기를 나눈다	rel.range:A
spontaneous-plan	spontaneous-plan-v2	surprise	작은 깜짝 약속을 만든다면 나는?	작은 깜짝 약속을 만들 때 이 사람은?	여러 사람이 함께 즐길 장면을 만든다	한 사람에게 꼭 맞는 장면을 깊게 준비한다	rel.range:A
trip-chemistry	trip-chemistry-v2	souvenir	여행지에서 기억하고 싶은 장면이 생기면 나는?	여행지에서 기억하고 싶은 장면이 생기면 이 사람은?	그 자리에서 사진이나 기념을 남긴다	먼저 충분히 즐긴 뒤 하나를 남긴다	att.experience:A
